Timestamp,Total Power (W),CPU Power (W),GPU Power (W),CPU Usage (%),Process Power (W)
1784015741,13.13,13.13,0.00,0.00,0.00
1784015742,12.98,12.98,0.00,0.12,0.00
1784015743,12.94,12.94,0.00,0.00,0.00
1784015744,13.09,13.09,0.00,0.00,0.00
